Student_ID,Student_Name,Class_Section,Subject,Attendance_Date,Attendance_Status,Faculty
S001,Student_1,C,Maths,2026-01-01,Present,Mr. Rao
S001,Student_1,C,Physics,2026-01-01,Absent,Mrs. Iyer
S001,Student_1,C,Chemistry,2026-01-01,Present,Mr. Khan
S001,Student_1,C,English,2026-01-01,Present,Ms. Fernandes
S001,Student_1,C,Computer Science,2026-01-01,Present,Mr. Sharma
S002,Student_2,A,Maths,2026-01-01,Present,Mr. Rao
S002,Student_2,A,Physics,2026-01-01,Present,Mrs. Iyer
S002,Student_2,A,Chemistry,2026-01-01,Absent,Mr. Khan
S002,Student_2,A,English,2026-01-01,Present,Ms. Fernandes
S002,Student_2,A,Computer Science,2026-01-01,Present,Mr. Sharma
S003,Student_3,A,Maths,2026-01-01,Present,Mr. Rao
S003,Student_3,A,Physics,2026-01-01,Absent,Mrs. Iyer
S003,Student_3,A,Chemistry,2026-01-01,Present,Mr. Khan
S003,Student_3,A,English,2026-01-01,Present,Ms. Fernandes
S003,Student_3,A,Computer Science,2026-01-01,Present,Mr. Sharma
S004,Student_4,C,Maths,2026-01-01,Present,Mr. Rao
S004,Student_4,C,Physics,2026-01-01,Present,Mrs. Iyer
S004,Student_4,C,Chemistry,2026-01-01,Present,Mr. Khan
S004,Student_4,C,English,2026-01-01,Present,Ms. Fernandes
S004,Student_4,C,Computer Science,2026-01-01,Present,Mr. Sharma
S005,Student_5,B,Maths,2026-01-01,Present,Mr. Rao
S005,Student_5,B,Physics,2026-01-01,Present,Mrs. Iyer
S005,Student_5,B,Chemistry,2026-01-01,Present,Mr. Khan
S005,Student_5,B,English,2026-01-01,Present,Ms. Fernandes
S005,Student_5,B,Computer Science,2026-01-01,Present,Mr. Sharma
S006,Student_6,A,Maths,2026-01-01,Present,Mr. Rao
S006,Student_6,A,Physics,2026-01-01,Present,Mrs. Iyer
S006,Student_6,A,Chemistry,2026-01-01,Present,Mr. Khan
S006,Student_6,A,English,2026-01-01,Present,Ms. Fernandes
S006,Student_6,A,Computer Science,2026-01-01,Present,Mr. Sharma
S007,Student_7,A,Maths,2026-01-01,Present,Mr. Rao
S007,Student_7,A,Physics,2026-01-01,Present,Mrs. Iyer
S007,Student_7,A,Chemistry,2026-01-01,Present,Mr. Khan
S007,Student_7,A,English,2026-01-01,Absent,Ms. Fernandes
S007,Student_7,A,Computer Science,2026-01-01,Absent,Mr. Sharma
S008,Student_8,A,Maths,2026-01-01,Present,Mr. Rao
S008,Student_8,A,Physics,2026-01-01,Present,Mrs. Iyer
S008,Student_8,A,Chemistry,2026-01-01,Present,Mr. Khan
S008,Student_8,A,English,2026-01-01,Present,Ms. Fernandes
S008,Student_8,A,Computer Science,2026-01-01,Present,Mr. Sharma
S009,Student_9,C,Maths,2026-01-01,Present,Mr. Rao
S009,Student_9,C,Physics,2026-01-01,Present,Mrs. Iyer
S009,Student_9,C,Chemistry,2026-01-01,Present,Mr. Khan
S009,Student_9,C,English,2026-01-01,Absent,Ms. Fernandes
S009,Student_9,C,Computer Science,2026-01-01,present ,Mr. Sharma
S010,Student_10,A,Maths,2026-01-01,Present,Mr. Rao
S010,Student_10,A,Physics,2026-01-01,Present,Mrs. Iyer
S010,Student_10,A,Chemistry,2026-01-01,Present,Mr. Khan
S010,Student_10,A,English,2026-01-01,Present,Ms. Fernandes
S010,Student_10,A,Computer Science,2026-01-01,Present,Mr. Sharma
S011,Student_11,C,Maths,2026-01-01,Absent,Mr. Rao
S011,Student_11,C,Physics,2026-01-01,Present,Mrs. Iyer
S011,Student_11,C,Chemistry,2026-01-01,Absent,Mr. Khan
S011,Student_11,C,English,2026-01-01,Absent,Ms. Fernandes
S011,Student_11,C,Computer Science,2026-01-01,Present,Mr. Sharma
S012,Student_12,C,Maths,2026-01-01,Absent,Mr. Rao
S012,Student_12,C,Physics,2026-01-01,Present,Mrs. Iyer
S012,Student_12,C,Chemistry,2026-01-01,Present,Mr. Khan
S012,Student_12,C,English,2026-01-01,Present,Ms. Fernandes
S012,Student_12,C,Computer Science,2026-01-01,Present,Mr. Sharma
S013,Student_13,C,Maths,2026-01-01,Present,Mr. Rao
S013,Student_13,C,Physics,2026-01-01,Present,Mrs. Iyer
S013,Student_13,C,Chemistry,2026-01-01,Present,Mr. Khan
S013,Student_13,C,English,2026-01-01,Present,Ms. Fernandes
S013,Student_13,C,Computer Science,2026-01-01,Present,Mr. Sharma
S014,Student_14,A,Maths,2026-01-01,Present,Mr. Rao
S014,Student_14,A,Physics,2026-01-01,Present,Mrs. Iyer
S014,Student_14,A,Chemistry,2026-01-01,Present,Mr. Khan
S014,Student_14,A,English,2026-01-01,Present,Ms. Fernandes
S014,Student_14,A,Computer Science,2026-01-01,Absent,Mr. Sharma
S015,Student_15,C,Maths,2026-01-01,Present,Mr. Rao
S015,Student_15,C,Physics,2026-01-01,Present,Mrs. Iyer
S015,Student_15,C,Chemistry,2026-01-01,Present,Mr. Khan
S015,Student_15,C,English,2026-01-01,Present,Ms. Fernandes
S015,Student_15,C,Computer Science,2026-01-01,Present,Mr. Sharma
S016,Student_16,B,Maths,2026-01-01,Present,Mr. Rao
S016,Student_16,B,Physics,2026-01-01,Present,Mrs. Iyer
S016,Student_16,B,Chemistry,2026-01-01,Present,Mr. Khan
S016,Student_16,B,English,2026-01-01,Present,Ms. Fernandes
S016,Student_16,B,Computer Science,2026-01-01,Present,Mr. Sharma
S017,Student_17,A,Maths,2026-01-01,Absent,Mr. Rao
S017,Student_17,A,Physics,2026-01-01,Present,Mrs. Iyer
S017,Student_17,A,Chemistry,2026-01-01,Present,Mr. Khan
S017,Student_17,A,English,2026-01-01,Present,Ms. Fernandes
S017,Student_17,A,Computer Science,2026-01-01,Present,Mr. Sharma
S018,Student_18,A,Maths,2026-01-01,Present,Mr. Rao
S018,Student_18,A,Physics,2026-01-01,Present,Mrs. Iyer
S018,Student_18,A,Chemistry,2026-01-01,Present,Mr. Khan
